nickname	sequence
o-fuc	Fuc
T	Gal(b1-3)GalNAc
core2	Gal(b1-3)[GlcNAc(b1-6)]GalNAc
core-sialyl-T	Gal(b1-3)[NeuAc(a2-6)]GalNAc
collagen	Gal
Tn	GalNAc
o-glc	Glc
n-linked-truncated-biantennary	GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc
o-glcnac	GlcNAc
o-man	Man
c-man	Man
sialyl-T	NeuAc(a2-3)Gal(b1-3)GalNAc
extended-core2	NeuAc(a2-3)Gal(b1-3)[NeuAc(a2-3)Gal(b1-4)GlcNAc(b1-6)]GalNAc
disalyl-T	NeuAc(a2-3)Gal(b1-3)[NeuAc(a2-6)]GalNAc
n-linked-sialyl-biantennary	NeuAc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[NeuAc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc
n-linked-core-fucose-sialyl-biantennary	NeuAc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[NeuAc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc
n-linked-sialyl-tetraantennary	NeuAc(a2-3)Gal(b1-4)GlcNAc(b1-2)[NeuAc(a2-3)Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[NeuAc(a2-3)Gal(b1-4)GlcNAc(b1-2)[NeuAc(a2-3)Gal(b1-4)GlcNAc(b1-4)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc
n-linked-core-fucose-sialyl-tetraantennary	NeuAc(a2-3)Gal(b1-4)GlcNAc(b1-2)[NeuAc(a2-3)Gal(b1-4)GlcNAc(b1-4])Man(a1-3)[NeuAc(a2-3)Gal(b1-4)GlcNAc(b1-2)[NeuAc(a2-3)Gal(b1-4)GlcNAc(b1-4)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc
extened-fng-o-fuc	NeuAc(a2-3)Gal(b1-4)GlcNAc(b1-3)Fuc
STn	NeuAc(a2-6)GalNAc
o-xyl	Xyl
chondroitin	{GlcA(b1-3)GalNAc(b1-4)}nGlcA(b1-3)Gal(b1-3)Gal(b1-4)Xyl
matriglycan	{GlcA(b1-3)Xyl(a1-3)}nGlcA(b1-3)Xyl(b1-4)Rbo(u5-1)P(u1-1)Rbo(u5-1)P(u1-3)GalNAc(b1-3)GlcNAc(b1-2)Man
heparan	{GlcA(b1-4)GlcNAc(a1-4)}nGlcA(b1-3)Gal(b1-3)Gal(b1-4)Xyl